codigo,horas_semanales,horas_semanales_profe,horas_semanales_grupo,grupo,profesor,materia,aula,1,2,3,4,5,6,fecha_inicio,fecha_final,7,8,9,aula_propia,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
3067,4,4,4,"2AF","15","81","31",,25,4.00000,,,,"20160706","20170630",0.02080,,,"31",,,,"n",,,,2,2,,,,,0,0,,,,,400000,4.00000,,,
3066,3,3,3,"2AF","21","77","31",,25,3.00000,,,,"20160706","20170630",0.01560,,,"31",,,,"n",,,,1,1,,,,,0,0,,,,,300000,3.00000,,,
3065,5,5,5,"2AF","16","86","31",,25,5.00000,,,,"20160706","20170630",0.02600,,,"31",,,,"n",,,,2,2,,,,,0,0,,,,,500000,5.00000,,,
3064,3,3,3,"2AF","14","94","31",,25,3.00000,,,,"20160706","20170630",0.01560,,,"31",,,,"n",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3063,2,2,2,"2AF","07","68","31",,25,2.00000,,,,"20160706","20170630",0.01040,,,"31",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3071,3,3,3,"2IEA","04","57","E13",,20,3.00000,,,,"20160706","20170630",0.01560,,,"E13",,,,"n",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3148,3,3,3,"2ACO","107","570","36",,0,3.00000,,,,"20160706","20170630",0.01560,,,"36",,,,"aBn",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3072,3,3,3,"2ACO","04","566","36",,0,3.00000,,,,"20160706","20170630",0.01560,,,"36",,,,"n",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3117,1,1,1,"1MEM","03","22","16",,30,1.00000,,,,"20160706","20170630",0.00520,,,"16",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3073,3,3,3,"1MEM","04","60","16",,30,3.00000,,,,"20160706","20170630",0.01560,,,"16",,,,"n",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3118,1,1,1,"1MEC","03","37","17",,30,1.00000,,,,"20160706","20170630",0.00520,,,"17",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3074,3,3,3,"1MEC","04","50","17",,30,3.00000,,,,"20160706","20170630",0.01560,,,"17",,,,"n",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3137,3,3,3,"1PRID","13","609","20.5",,20,3.00000,,,,"20160706","20170630",0.01560,,,"20.5",,,,"an",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3075,3,3,3,"1PRID","04","611","20.5",,20,3.00000,,,,"20160706","20170630",0.01560,,,"20.5",,,,"n",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3151,2,2,2,"1SMX A","10","55","20.4",,20,2.00000,,,,"20160706","20170630",0.01040,,,"20.4",,,,"an",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3151,2,2,0,"1SMX B","10","55","20.4",,20,2.00000,,,,"20160706","20170630",0.01040,,,"20.4",,,,"an",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3151,2,2,0,"1SMX C","10","55","20.4",,20,2.00000,,,,"20160706","20170630",0.01040,,,"20.4",,,,"an",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3151,2,0,2,"1SMX A","05","84","20.2",,0,2.00000,,,,"20160706","20170630",0.01040,,,"20.2",,,,"an",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3151,2,0,0,"1SMX B","05","84","20.2",,0,2.00000,,,,"20160706","20170630",0.01040,,,"20.2",,,,"an",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3151,2,0,0,"1SMX C","05","84","20.2",,0,2.00000,,,,"20160706","20170630",0.01040,,,"20.2",,,,"an",,,,,,,,,,0,0,,,,,200000,2.00000,,,
