codigo,nombre,1,2,aula,4,5,6,7,8,9,10,11,12,13,codigo_estudio,estudio,14,15,16,nombre_corto,18
"672","1r EE-M1 - Configuració d'instal·lacions solars tèrmiques",,,,,0,14,0,14,,,,,1.00000,"EE","Eficiència energètica",,,,"M 1",
"673","1r EE-M3 - Representació gràfica d'instal·lacions",,,,,,99,0,14,,,,,1.00000,"EE","Eficiència energètica",,,,"M 3",
"675","1r EE-M7 - Gestió del muntage i manteniment d'instal·lacions solars tèrmiques",,,,,,,0,14,,,"Eficiència energètica",,1.00000,"EE","Eficiència energètica",,,,"M 7",
"650","2n PRID-M10 - Empresa i iniciativa emprenedora",,,,,,,0,14,,,"PRID",,1.00000,"PRID","Preimpressió digital",,,,"M 10",
"677","1r EE-M9 - Equips i instal·lacions tèrmiques",,,,,,,0,14,,,"Eficiència energètica",,1.00000,"EE","Eficiència energètica",,,,"M 9",
"678","1r EE-M10 - Formació i orientació laboral",,,,,,,0,14,,,"Eficiència energètica",,1.00000,"EE","Eficiència energètica",,,,"M 10",
"147","1r ES-M1 - Manteniment mecànic preventiu del vehicle",,,,,,,0,14,,,"Emergències sanitàries",,1.00000,"ES","Emergències sanitàries",,,,"M 1",
"139","1r ES-M3 - Dotació sanitària",,,,,,,0,14,,,,,1.00000,"ES","Emergències sanitàries",0,16777215,,"M 3",
"141","1r ES-M4 - Assistència sanitària inicial en situacions d'emergència",,,,,99,99,0,14,,,,,1.00000,"ES","Emergències sanitàries",0,16777215,,"M 4",
"142","1r ES-M6 - Evacuació i trasllat",,,,,,,0,14,,,"0",,1.00000,"ES","Emergències sanitàries",0,16777215,,"M 6",
"143","1r ES-M8 - Plans d'emergència i dispositius de risc previsibles",,,,,,99,0,14,,,,,1.00000,"ES","Emergències sanitàries",,,,"M 8",
"146","1r ES-M10 - Anatomofisiologia i patologia bàsiques",,,,,,,0,14,,,"Emergències sanitàries",,1.00000,"ES","Emergències sanitàries",,,,"M 10",
"12","1r ES-M11 - Formació i orientació laboral",,,,,,,0,14,,,,,1.00000,"ES","Emergències sanitàries",,,,"M 11",
"148","2n ES-M2 - Logística sanitària en emergències",,,,,,,0,14,,,"1.00000",,1.00000,"ES","Emergències sanitàries",,,,"M 2",
"150","2n ES-M5 - Atenció sanitària especial en situacions d'emergència",,,,,,99,0,14,,,,,1.00000,"ES","Emergències sanitàries",,,,"M 5",
"152","2n ES-M7 - Suport psicològic en situacions d'emergència",,,,,0,14,0,14,,,,,1.00000,"ES","Emergències sanitàries",,,,"M 7",
"29","2n ES-M12 - Empresa i iniciativa emprenedora",,,,,,,0,14,,,"1.00000",,1.00000,"ES","Emergències sanitàries",,,,"M 12",
"63","2n ES-M13 - Àngles",,,,,,,0,14,,,,,1.00000,"ES","Emergències sanitàries",0,16777215,,"M 13",
"291","1r SMX-M1 - Muntatge i manteniment d'equips",,,,,,,0,14,,,"1.00000",,1.00000,"SMX","Sistemes microinformàtics en xarxes",,,,"M 1",
"286","1r SMX-M2 - Sistemes operatius monolloc",,,,,,,0,14,,,,,1.00000,"SMX","Sistemes microinformàtics en xarxes",,,,"M 2",
"288","1r SMX-M3 - Aplicacions ofimàtiques",,,,,,,0,14,,,"14",,1.00000,"SMX","Sistemes microinformàtics en xarxes",,,,"M 3",
"278","1r SMX-M5 - Xarxes locals",,,,,,,0,14,,,,,1.00000,"SMX","Sistemes microinformàtics en xarxes",0,16777215,,"M 5",
"84","1r SMX-M11 - Àngles",,,,,,,0,14,,,,,1.00000,"SMX","Sistemes microinformàtics en xarxes",0,16777215,,"M 11",
"293","2n SMX-M4 - Sistemes operatius en xarxa",,,,,,,0,14,,,,,1.00000,"SMX","Sistemes microinformàtics en xarxes",,,,"M 4",
"280","2n SMX-M6 - Seguretat informàtica",,,,,,,0,14,,,"0",,1.00000,"SMX","Sistemes microinformàtics en xarxes",0,16777215,,"M 6",
"267","2n SMX-M7 - Serveis de xarxa",,,,,,,0,14,,,,,1.00000,"SMX","Sistemes microinformàtics en xarxes",0,16777215,,"M 7",
"295","2n SMX-M8 - Aplicacions web",,,,,,,0,14,,,,,1.00000,"SMX","Sistemes microinformàtics en xarxes",0,16777215,,"M 8",
"465","2n SMX-M10 - Empresa i iniciativa emprenedora",,,,,,,0,14,,,"1.00000",,1.00000,"SMX","Sistemes microinformàtics en xarxes",,,,"M 10",
"630","2n IT-M2 - Infraestructures de xarxes de dades i sistemes de telefonia",,,,,,,0,14,,,"STI",,1.00000,"IT","Instal·lacions de telecomunicacions",0,16777215,,"M 2",
"632","2n IT-M4 - Circuit tancat de televisió i seguretat electrònica",,,,,,,0,14,,,"1.00000",,1.00000,"IT","Instal·lacions de telecomunicacions",,,,"M 4",
"633","2n IT-M5 - Equips microinformàtics",,,,,,,0,14,,,"1.00000",,1.00000,"IT","Instal·lacions de telecomunicacions",,,,"M 5",
"634","2n IT-M7 - Instal·lacions de radiocomunicacions",,,,,99,99,0,14,,,,,1.00000,"IT","Instal·lacions de telecomunicacions",,,,"M 7",
"631","2n IT-M3 - Instal·lacions de megafonia i sonorització",,,,,,,0,14,,,"0",,1.00000,"IT","Instal·lacions de telecomunicacions",0,16777215,,"M 3",
"432","1r IEA-M1 - Automatismes industrials",,,,,,,0,14,,,"14",,1.00000,"IEA","Instal·lacions elèctriques automàtiques",,,,"M 1",
"430","1r IEA-M2 - Instal·lacions elèctriques d'interior",,,,,,,0,14,,,"IEA",,1.00000,"IEA","Instal·lacions elèctriques automàtiques",,,,"M 2",
"395","1r IEA-M5 - Instal·lacions domòtiques",,,,,,,0,14,,,"14",,1.00000,"IEA","Instal·lacions elèctriques automàtiques",,,,"M 5",
"393","1r IEA-M6 - Instal·lacions solars fotovoltaiques",,,,,,,0,14,,,"IEA",,1.00000,"IEA","Instal·lacions elèctriques automàtiques",,,,"M 6",
"394","1r IEA-M9 - Electrònica",,,,,,,0,14,,,,,1.00000,"IEA","Instal·lacions elèctriques automàtiques",,,,"M 9",
"392","1r IEA-M10 - Electrotècnia",,,,,,,0,14,,,,,1.00000,"IEA","Instal·lacions elèctriques automàtiques",0,16777215,,"M 10",
"200","1r IEA-M11 - Formació i orientació laboral",,,,,,,0,14,,,"1.00000",,1.00000,"IEA","Instal·lacions elèctriques automàtiques",,,,"M 11",
"398","2n IEA-M1 - Automatismes industrials",,,,,,,0,14,,,"14",,1.00000,"IEA","Instal·lacions elèctriques automàtiques",,,,"M 1",
"401","2n IEA-M3 - Instal·lacions de distribució",,,,,,,0,14,,,,,1.00000,"IEA","Instal·lacions elèctriques automàtiques",,,,"M 3",
"397","2n IEA-M4 - Infraestructures comunes de telecomunicació en habitatge",,,,,99,99,0,14,,,,,1.00000,"IEA","Instal·lacions elèctriques automàtiques",,,,"M 4",
"399","2n IEA-M7 - Màquines elèctriques",,,,,,,0,14,,,"0",,1.00000,"IEA","Instal·lacions elèctriques automàtiques",0,16777215,,"M 7",
"425","2n IEA-M8 - Instal·lacions elèctriques especials",,,,,,,0,14,,,"IEA",,1.00000,"IEA","Instal·lacions elèctriques automàtiques",,,,"M 8",
"201","2n IEA-M12 - Empresa i iniciativa emprenedora",,,,,,,0,14,,,"1.00000",,1.00000,"IEA","Instal·lacions elèctriques automàtiques",,,,"M 12",
"57","2n IEA-M13 - Àngles",,,,,,,0,14,,,,,1.00000,"IEA","Instal·lacions elèctriques automàtiques",,,,"M 13",
