clase,grupo,profesor,materia,aula,dia,hora,duracion
3102,"CAIC","09","15","12",5,11,,
3104,"1INS A","10","527","B2",1,3,,
3104,"1INS A","10","527","B2",3,4,,
3106,"1INS A","10","527",,4,2,,
3108,"2INS A","10","532","B1",4,4,,
3107,"2INS A","10","532","E9",4,3,,
3110,"1ASIX-DAM","10","4","20.6",3,1,,
3110,"1ASIX-DAM","10","4","20.6",5,1,,
3110,"1ASIX-DAM","10","4","20.6",5,2,,
3110,"1DEP","10","971","20.6",3,1,,
3110,"1DEP","10","971","20.6",5,1,,
3110,"1DEP","10","971","20.6",5,2,,
3109,"1ASIX-DAM","10","452","E16",1,1,,
3109,"1ASIX-DAM","10","452","E16",1,2,,
3109,"2PRO","10","474","E16",1,1,,
3109,"2PRO","10","474","E16",1,2,,
3109,"2PPFM","10","494","E16",1,1,,
3109,"2PPFM","10","494","E16",1,2,,
3111,"CAS A","110","73","21",4,5,,
3111,"CAS B","110","73","21",4,5,,
3111,"CAS A","11","402","25",4,5,,
3111,"CAS B","11","402","25",4,5,,
3111,"CAS A","03","71","B1",4,5,,
3111,"CAS B","03","71","B1",4,5,,
3112,"CAS A","08","73","21",2,5,,
3112,"CAS B","08","73","21",2,5,,
3112,"CAS A","11","402","25",2,5,,
3112,"CAS B","11","402","25",2,5,,
3112,"CAS A","03","71","B1",2,5,,
3112,"CAS B","03","71","B1",2,5,,
3114,"CAIA","03","19","27",3,2,,
3114,"CAIA","03","19","27",4,3,,
3113,"CAIA","03","15","27",5,2,,
3113,"CAIA","03","15","27",5,3,,
3116,"CAIB","03","19","26",1,3,,
3116,"CAIB","03","19","26",1,4,,
3115,"CAIB","03","15","26",4,1,,
3115,"CAIB","03","15","26",4,2,,
3119,"1DIE","12","21","E2",2,4,,
3119,"1DIE","12","21","E2",2,5,,
3121,"1GAD","12","35","32",1,4,,
3121,"1GAD","12","35","32",2,6,,
3121,"1GAD","12","35","32",5,5,,
3122,"1ARI","12","384","E14",1,5,,
3122,"1ARI","12","384","E14",1,6,,
3122,"1ARI","12","384","E15",5,6,,
3122,"1PPFM","12","492","E14",1,5,,
3122,"1PPFM","12","492","E14",1,6,,
3122,"1PPFM","12","492","E15",5,6,,
3122,"1EE","12","678","E14",1,5,,
3122,"1EE","12","678","E14",1,6,,
3122,"1EE","12","678","E15",5,6,,
3123,"1IEA","107","200","B1",4,6,,
3124,"2ARI","12","413","E12",5,9,,
3124,"2ARI","12","413","E12",5,10,,
3124,"2EE","12","685","E12",5,9,,
3124,"2EE","12","685","E12",5,10,,
3127,"2EIN","12","537","E2",4,8,,
3127,"2EIN","12","537","E2",4,9,,
3126,"2EIN","12","537","E2",4,7,,
3125,"2EIN","12","533","B1",4,10,,
3125,"2EIN","12","533","B1",4,11,,
3128,"2INS B","12","532","B1",3,10,,
3128,"2INS B","12","532","B1",3,11,,
3129,"1APD","11","526","22",3,1,,
3129,"1APD","11","526","22",3,2,,
3129,"1APD","11","526","22",5,4,,
3130,"1ES","11","12","ES",2,3,,
3130,"1ES","11","12","ES",3,4,,
3130,"1ES","11","12","ES",5,5,,
3518,"1MAP","11","556","34",3,3,,
3131,"1MAP","11","556","35",2,1,,
3131,"1MAP","11","556","35",2,6,,
3136,"1FAR","11","6","14",5,1,,
3141,"2MEM","13","487","B1",1,8,,
3141,"2MEM","13","487","B1",1,9,,
3141,"2PRID","13","650","B1",1,8,,
3141,"2PRID","13","650","B1",1,9,,
3140,"2MEM","13","33","16",5,7,,
3140,"2MEM","13","33","16",5,8,,
3143,"2MEC","13","489","17",3,10,,
3143,"2MEC","13","489","17",3,11,,
3142,"2MEC","13","85","E15",1,10,,
3142,"2MEC","13","85","E15",1,11,,
3145,"2PRID","13","649","20.5",1,7,,
3145,"2PRID","13","649","20.5",2,7,,
3582,"1IEA","107","200","E7",4,5,,
3146,"1IEA","107","200","E7",4,4,,
3147,"2DIE","107","509","26",1,7,,
3147,"2DIE","107","509","E6",5,9,,
3149,"2SMX A","107","465","20.3",1,11,,
3149,"2SMX A","107","465","20.3",1,12,,
3149,"2SMX B","107","465","20.3",1,11,,
3149,"2SMX B","107","465","20.3",1,12,,
3152,"1PRID","95","601","20.5",1,2,,
3152,"1PRID","95","601","20.5",1,3,,
3152,"1PRID","95","601","20.5",5,4,,
3152,"1PRID","95","601","20.5",5,5,,
3152,"1PRID","95","601","20.5",5,6,,
3152,"1PRID","97","601","20.5",1,2,,
3152,"1PRID","97","601","20.5",1,3,,
3152,"1PRID","97","601","20.5",5,4,,
3152,"1PRID","97","601","20.5",5,5,,
3152,"1PRID","97","601","20.5",5,6,,
3153,"1PRID","96","602","20.5",3,2,,
3153,"1PRID","96","602","20.5",3,3,,
3153,"1PRID","96","602","20.5",4,3,,
3153,"1PRID","96","602","20.5",4,4,,
3153,"1PRID","97","602","20.5",3,2,,
3153,"1PRID","97","602","20.5",3,3,,
3153,"1PRID","97","602","20.5",4,3,,
3153,"1PRID","97","602","20.5",4,4,,
3154,"1PRID","94","604","20.5",4,1,,
3154,"1PRID","94","604","20.5",4,2,,
3155,"1PRID","96","606","20.5",5,1,,
3155,"1PRID","96","606","20.5",5,2,,
3155,"1PRID","96","606","20.5",5,3,,
3155,"1PRID","97","606","20.5",5,1,,
3155,"1PRID","97","606","20.5",5,2,,
3155,"1PRID","97","606","20.5",5,3,,
3156,"1PRID","94","607","20.5",1,5,,
3156,"1PRID","94","607","20.5",1,6,,
3156,"1PRID","94","607","20.5",2,1,,
3156,"1PRID","94","607","20.5",2,2,,
3157,"1PRID","96","608","20.5",2,4,,
3157,"1PRID","96","608","20.5",2,5,,
3157,"1PRID","96","608","20.5",2,6,,
3157,"1PRID","97","608","20.5",2,4,,
3157,"1PRID","97","608","20.5",2,5,,
3157,"1PRID","97","608","20.5",2,6,,
3158,"2PRID","96","645","20.5",1,10,,
3158,"2PRID","96","645","20.5",1,11,,
3158,"2PRID","96","645","20.5",3,10,,
3158,"2PRID","96","645","20.5",3,11,,
3159,"2PRID","94","646","20.5",5,7,,
